epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6883,2.33714,3.16603,0.89151,0.42819,0.30973,0.4017,0.17669,1.91069,2.01993,0.89832,0.000543319,0.000543319,0.000543319
2,164.03,2.00942,1.40612,0.80007,0.88802,0.61602,0.80557,0.39011,1.67811,1.12492,0.92106,0.00107179,0.00107179,0.00107179
3,245.95,1.85865,1.2083,0.78964,0.88629,0.69099,0.84221,0.42309,1.73643,1.02385,0.90238,0.00157275,0.00157275,0.00157275
4,335.104,1.75258,1.10979,0.79528,0.77052,0.69243,0.75443,0.36694,1.67312,1.14431,0.94959,0.00154323,0.00154323,0.00154323
5,425.381,1.73223,1.11312,0.8039,0.71295,0.76581,0.78826,0.43359,1.48763,0.96558,0.95817,0.00150197,0.00150197,0.00150197
6,526.921,1.55479,0.98352,0.81028,0.82517,0.80757,0.87407,0.53813,1.29212,0.89024,0.9332,0.00146071,0.00146071,0.00146071
7,614.916,1.49194,0.8838,0.79837,0.85202,0.85659,0.9063,0.57608,1.2848,0.78791,0.9139,0.00141945,0.00141945,0.00141945
8,701.471,1.45834,0.82541,0.78761,0.88596,0.82693,0.92969,0.59842,1.26805,0.76868,0.89999,0.00137819,0.00137819,0.00137819
9,788.529,1.35436,0.75683,0.78513,0.84734,0.88496,0.94057,0.61407,1.24522,0.76744,0.89325,0.00133693,0.00133693,0.00133693
10,878.198,1.32822,0.72478,0.77838,0.87497,0.83761,0.94807,0.6504,1.12415,0.73421,0.89047,0.00129568,0.00129568,0.00129568
11,969.641,1.40281,0.71594,0.77049,0.89296,0.84857,0.93919,0.63391,1.13012,0.70116,0.8903,0.00125442,0.00125442,0.00125442
12,1055.02,1.27054,0.67749,0.77319,0.90088,0.90344,0.95838,0.65876,1.12427,0.67393,0.88435,0.00121316,0.00121316,0.00121316
13,1138.17,1.33837,0.6804,0.76788,0.88965,0.92851,0.95977,0.68633,1.02307,0.66034,0.87967,0.0011719,0.0011719,0.0011719
14,1222.67,1.26603,0.65126,0.76192,0.9035,0.88202,0.94589,0.6794,0.98355,0.63479,0.87336,0.00113064,0.00113064,0.00113064
