controller,seed,scenario,scope,tls_id,avg_wait_time_s,max_queue_len,throughput_veh,total_co2_kg,wait_p95_s,worst_vehicle_wait_s
actuated,0,asymmetric,corridor,all,12.24,24,1317,310.5778,38.0,93.0
actuated,1,asymmetric,corridor,all,10.73,22,1322,309.3169,32.0,72.0
actuated,2,asymmetric,corridor,all,10.98,21,1321,307.7692,32.0,72.0
actuated,0,asymmetric,junction,B1,3.36,9,577,,,
actuated,1,asymmetric,junction,B1,2.69,7,576,,,
actuated,2,asymmetric,junction,B1,2.69,9,576,,,
fixed,0,asymmetric,corridor,all,53.76,91,1261,414.0082,124.0,211.0
fixed,1,asymmetric,corridor,all,55.19,90,1272,417.3719,131.0,223.0
fixed,2,asymmetric,corridor,all,53.49,86,1276,411.7644,120.0,188.0
fixed,0,asymmetric,junction,B1,20.89,25,561,,,
fixed,1,asymmetric,junction,B1,18.6,16,564,,,
fixed,2,asymmetric,junction,B1,18.14,18,563,,,
marl_independent,0,asymmetric,corridor,all,10.32,24,1320,311.4788,28.0,73.0
marl_independent,1,asymmetric,corridor,all,11.48,31,1321,317.0237,33.0,69.0
marl_independent,2,asymmetric,corridor,all,10.78,26,1320,311.7618,30.0,60.0
marl_independent,0,asymmetric,junction,B1,3.17,8,578,,,
marl_independent,1,asymmetric,junction,B1,3.62,8,577,,,
marl_independent,2,asymmetric,junction,B1,3.06,9,578,,,
marl_shared_w5,0,asymmetric,corridor,all,10.32,24,1320,311.4788,28.0,73.0
marl_shared_w5,1,asymmetric,corridor,all,11.16,28,1324,316.2257,33.0,94.0
marl_shared_w5,2,asymmetric,corridor,all,10.81,26,1324,311.997,30.0,60.0
marl_shared_w5,0,asymmetric,junction,B1,3.17,8,578,,,
marl_shared_w5,1,asymmetric,junction,B1,3.65,8,576,,,
marl_shared_w5,2,asymmetric,junction,B1,3.07,9,578,,,
actuated,0,base,corridor,all,43.3,74,1648,516.8873,127.0,215.0
actuated,1,base,corridor,all,42.54,78,1650,515.4579,128.0,277.0
actuated,2,base,corridor,all,36.84,77,1642,492.4259,112.0,237.0
actuated,0,base,junction,B1,10.08,21,741,,,
actuated,1,base,junction,B1,19.06,37,735,,,
actuated,2,base,junction,B1,22.64,34,734,,,
fixed,0,base,corridor,all,84.32,195,1520,657.1225,206.0,564.0
fixed,1,base,corridor,all,84.16,466,1263,725.0108,209.0,723.0
fixed,2,base,corridor,all,80.81,622,1057,815.6796,219.0,876.0
fixed,0,base,junction,B1,40.2,76,655,,,
fixed,1,base,junction,B1,30.27,99,512,,,
fixed,2,base,junction,B1,52.16,98,430,,,
marl_independent,0,base,corridor,all,18.19,45,1675,451.2338,49.0,100.0
marl_independent,1,base,corridor,all,17.57,39,1679,450.2659,47.0,92.0
marl_independent,2,base,corridor,all,17.64,39,1685,451.3941,47.0,94.0
marl_independent,0,base,junction,B1,4.2,11,757,,,
marl_independent,1,base,junction,B1,5.5,11,755,,,
marl_independent,2,base,junction,B1,6.24,12,755,,,
marl_shared_w5,0,base,corridor,all,18.25,45,1675,451.9404,49.0,100.0
marl_shared_w5,1,base,corridor,all,17.96,42,1673,450.4566,47.0,94.0
marl_shared_w5,2,base,corridor,all,17.34,362,1360,521.5719,48.0,672.0
marl_shared_w5,0,base,junction,B1,4.86,11,748,,,
marl_shared_w5,1,base,junction,B1,5.49,12,751,,,
marl_shared_w5,2,base,junction,B1,4.91,15,683,,,
marl_shared_w5gnn,0,base,corridor,all,18.25,45,1675,451.9404,49.0,100.0
marl_shared_w5gnn,1,base,corridor,all,17.96,42,1673,450.4566,47.0,94.0
marl_shared_w5gnn,2,base,corridor,all,18.27,40,1688,453.6019,48.0,94.0
marl_shared_w5gnn,0,base,junction,B1,4.86,11,748,,,
marl_shared_w5gnn,1,base,junction,B1,5.49,12,751,,,
marl_shared_w5gnn,2,base,junction,B1,6.5,10,752,,,
marl_shared_w5nocoord,0,base,corridor,all,18.25,45,1675,451.9404,49.0,100.0
marl_shared_w5nocoord,1,base,corridor,all,17.96,42,1673,450.4566,47.0,94.0
marl_shared_w5nocoord,2,base,corridor,all,18.27,40,1688,453.6019,48.0,94.0
marl_shared_w5nocoord,0,base,junction,B1,4.86,11,748,,,
marl_shared_w5nocoord,1,base,junction,B1,5.49,12,751,,,
marl_shared_w5nocoord,2,base,junction,B1,6.5,10,752,,,
marl_shared_w5nofair,0,base,corridor,all,18.25,45,1675,451.9404,49.0,100.0
marl_shared_w5nofair,1,base,corridor,all,17.96,42,1673,450.4566,47.0,94.0
marl_shared_w5nofair,2,base,corridor,all,18.27,40,1688,453.6019,48.0,94.0
marl_shared_w5nofair,0,base,junction,B1,4.86,11,748,,,
marl_shared_w5nofair,1,base,junction,B1,5.49,12,751,,,
marl_shared_w5nofair,2,base,junction,B1,6.5,10,752,,,
marl_shared_w5strong,0,base,corridor,all,18.25,45,1675,451.9404,49.0,100.0
marl_shared_w5strong,1,base,corridor,all,17.96,42,1673,450.4566,47.0,94.0
marl_shared_w5strong,2,base,corridor,all,18.27,40,1688,453.6019,48.0,94.0
marl_shared_w5strong,0,base,junction,B1,4.86,11,748,,,
marl_shared_w5strong,1,base,junction,B1,5.49,12,751,,,
marl_shared_w5strong,2,base,junction,B1,6.5,10,752,,,
actuated,0,light,corridor,all,6.38,11,859,187.4594,20.0,63.0
actuated,1,light,corridor,all,6.41,11,861,188.8712,18.0,45.0
actuated,2,light,corridor,all,6.25,12,858,187.2685,19.0,41.0
actuated,0,light,junction,B1,2.21,5,377,,,
actuated,1,light,junction,B1,1.9,5,377,,,
actuated,2,light,junction,B1,1.9,4,377,,,
fixed,0,light,corridor,all,35.52,45,837,229.0967,84.0,146.0
fixed,1,light,corridor,all,38.55,49,836,235.0529,96.0,171.0
fixed,2,light,corridor,all,36.9,47,836,230.5479,89.0,155.0
fixed,0,light,junction,B1,10.78,9,371,,,
fixed,1,light,junction,B1,10.21,12,372,,,
fixed,2,light,junction,B1,11.14,13,368,,,
marl_independent,0,light,corridor,all,6.6,16,857,187.6844,18.0,35.0
marl_independent,1,light,corridor,all,6.47,15,855,188.5583,18.0,50.0
marl_independent,2,light,corridor,all,6.68,17,853,187.7263,20.0,56.0
marl_independent,0,light,junction,B1,1.82,4,376,,,
marl_independent,1,light,junction,B1,1.93,5,377,,,
marl_independent,2,light,junction,B1,1.99,5,376,,,
marl_shared_w5,0,light,corridor,all,6.6,16,857,187.6844,18.0,35.0
marl_shared_w5,1,light,corridor,all,6.52,15,855,188.5879,18.0,50.0
marl_shared_w5,2,light,corridor,all,6.97,17,854,188.9944,19.0,52.0
marl_shared_w5,0,light,junction,B1,1.82,4,376,,,
marl_shared_w5,1,light,junction,B1,1.82,5,376,,,
marl_shared_w5,2,light,junction,B1,1.93,5,376,,,
actuated,0,peak,corridor,all,56.48,1155,397,1956.5803,175.0,1596.0
actuated,1,peak,corridor,all,83.53,1136,486,1934.972,243.0,1550.0
actuated,2,peak,corridor,all,73.55,1142,393,1993.0724,287.0,1580.0
actuated,0,peak,junction,B1,34.85,99,229,,,
actuated,1,peak,junction,B1,41.71,98,244,,,
actuated,2,peak,junction,B1,65.94,97,206,,,
fixed,0,peak,corridor,all,65.05,1158,275,2087.5552,159.0,1681.0
fixed,1,peak,corridor,all,63.7,1160,270,2099.9615,171.0,1656.0
fixed,2,peak,corridor,all,77.87,1157,292,2089.2868,221.0,1623.0
fixed,0,peak,junction,B1,18.39,98,148,,,
fixed,1,peak,junction,B1,24.8,98,128,,,
fixed,2,peak,junction,B1,29.16,99,156,,,
marl_independent,0,peak,corridor,all,36.03,1143,536,1852.9572,96.0,1354.0
marl_independent,1,peak,corridor,all,41.78,1144,517,1872.9763,115.0,1360.0
marl_independent,2,peak,corridor,all,49.72,1131,532,1862.4477,131.0,1332.0
marl_independent,0,peak,junction,B1,13.4,98,278,,,
marl_independent,1,peak,junction,B1,13.39,99,275,,,
marl_independent,2,peak,junction,B1,18.2,98,260,,,
marl_shared_w5,0,peak,corridor,all,40.57,1138,557,1830.3896,108.0,1328.0
marl_shared_w5,1,peak,corridor,all,34.76,1136,483,1876.7037,91.0,1441.0
marl_shared_w5,2,peak,corridor,all,42.4,1135,486,1891.5558,118.0,1460.0
marl_shared_w5,0,peak,junction,B1,18.58,97,298,,,
marl_shared_w5,1,peak,junction,B1,10.65,99,233,,,
marl_shared_w5,2,peak,junction,B1,17.38,98,260,,,
