#{"t_start": 1787475021.6591215, "env_id": "None"}
r,l,t
-3.67,720,20.315712
-5.35,720,41.92591
-2.49,720,65.432675
-3.32,720,85.279821
-3.3,720,103.250566
-3.27,720,123.172594
-3.85,720,139.221559
-4.07,720,155.746219
-3.35,720,174.378493
-5.59,720,190.461711
-2.69,720,207.20322
-2.96,720,225.74076
-4.57,720,242.335783
-3.09,720,259.106421
-4.37,720,278.939647
-2.24,720,295.583343
-5.51,720,313.831935
-4.23,720,332.536021
-2.54,720,349.072881
-3.43,720,367.809788
-6.43,720,384.836802
-2.73,720,401.651035
-4.25,720,420.230589
-4.25,720,436.723963
-3.24,720,453.592864
-4.41,720,472.244089
-4.68,720,488.861036
-3.14,720,505.876293
