#{"t_start": 1787476395.4538007, "env_id": "None"}
r,l,t
-10.8,360,4.958926
-112.28,360,9.192589
-2.62,360,12.696463
-5.94,360,16.33343
-7.17,360,20.809124
-482.77,360,28.091743
-6.75,360,31.777526
-4.39,360,35.129945
-9.54,360,38.556366
-1.68,360,42.170759
-20.61,360,47.265228
-14.67,360,52.29281
-2.35,360,55.963274
-3.73,360,60.120259
-2.76,360,63.517695
-7.03,360,67.235053
-320.9,360,73.384606
-67.42,360,79.477904
-7.36,360,83.012755
-2.68,360,86.321502
-25.05,360,90.623674
-5.12,360,94.020145
-6.27,360,98.682073
-6.38,360,102.416369
-42.61,360,106.332802
-25.4,360,110.035709
-417.43,360,117.635947
-2.38,360,123.788275
-9.18,360,132.355821
-7.12,360,137.722381
-3.77,360,143.316483
-452.91,360,152.610308
-4.87,360,158.166068
-1.7,360,163.966676
-7.52,360,173.230936
-5.1,360,177.06168
-1.81,360,180.71127
-5.71,360,184.95995
-8.08,360,188.903054
-12.95,360,194.99505
-7.69,360,199.323976
-3.42,360,203.133903
-3.15,360,206.87689
-6.35,360,210.957298
-3.47,360,216.07929
-3.95,360,248.639842
-5.36,360,253.454437
-8.46,360,257.828036
-7.3,360,262.95298
-5.55,360,268.51128
-18.65,360,274.940278
-7.4,360,293.43832
-6.68,360,297.635352
-746.18,360,305.08782
-15.21,360,309.122547
-10.59,360,312.965201
-4.84,360,318.707644
-5.51,360,322.50799
-4.05,360,326.449057
-7.47,360,330.796333
-95.62,360,335.642754
-6.34,360,339.032765
-4.1,360,344.382361
-19.38,360,348.309453
-5.61,360,352.132571
-3.47,360,355.65454
-3.91,360,359.185435
-14.95,360,363.628924
-6.9,360,368.722798
-7.87,360,372.506481
-5.42,360,376.382943
-503.6,360,386.063316
-4.96,360,392.693563
-3.37,360,463.357332
-21.53,360,468.264557
-8.89,360,475.288064
-31.75,360,484.867966
-13.58,360,492.823486
-7.81,360,500.110785
-2.19,360,537.304995
-6.53,360,543.461426
-10.53,360,549.969109
-21.69,360,557.756913
-11.86,360,564.638731
-4.44,360,571.106809
-21.37,360,581.042227
-68.53,360,592.786016
-37.81,360,601.730236
-2.64,360,609.087825
-436.29,360,625.406863
-4.17,360,635.036671
-27.81,360,654.717193
-5.4,360,662.191368
-382.12,360,673.867223
-6.71,360,681.492944
-2.22,360,688.476803
-17.99,360,697.923688
-4.87,360,703.805556
-137.27,360,714.643986
-9.58,360,721.960749
-11.3,360,728.999634
-4.42,360,736.69561
-3.61,360,751.064645
-20.24,360,757.683668
-5.87,360,764.203664
-3.76,360,771.017909
-7.34,360,777.682499
-2.04,360,784.753462
-40.85,360,810.822917
-4.65,360,817.029056
-130.43,360,829.162711
-8.83,360,836.091093
-54.35,360,844.786974
-3.72,360,865.675505
-369.03,360,878.336861
-295.56,360,896.498141
-7.49,360,906.650214
-193.41,360,922.67033
-6.66,360,929.97223
-11.19,360,992.908345
-511.91,360,1007.92471
-31.69,360,1017.021236
-6.88,360,1024.774325
-20.15,360,1040.340204
-449.18,360,1057.137544
-293.59,360,1067.062482
-26.54,360,1074.64151
-632.47,360,1085.418809
-39.52,360,1091.031357
-1.19,360,1096.957132
-5.22,360,1105.456812
-4.76,360,1110.34847
-9.05,360,1116.073642
-1.86,360,1122.494039
-5.38,360,1129.643405
-5.47,360,1137.101218
-26.87,360,1197.940796
-1.55,360,1203.57605
-8.46,360,1210.483967
-8.11,360,1217.240027
-4.41,360,1223.081697
-37.51,360,1249.816004
