controller,seed,scope,tls_id,avg_wait_time_s,max_queue_len,throughput_veh,total_co2_kg
actuated,0,corridor,all,43.3,74,1648,516.8873
actuated,1,corridor,all,42.54,78,1650,515.4579
actuated,2,corridor,all,36.84,77,1642,492.4259
actuated,0,junction,B1,10.08,21,741,
actuated,1,junction,B1,19.06,37,735,
actuated,2,junction,B1,22.64,34,734,
actuated_single,0,corridor,all,81.26,147,1577,646.0883
actuated_single,1,corridor,all,74.47,145,1595,622.4928
actuated_single,2,corridor,all,79.89,146,1616,640.1211
actuated_single,0,junction,B1,34.88,52,711,
actuated_single,1,junction,B1,15.81,29,731,
actuated_single,2,junction,B1,22.61,28,728,
fixed,0,corridor,all,84.32,195,1520,657.1225
fixed,1,corridor,all,85.94,394,1275,724.9425
fixed,2,corridor,all,88.52,573,1087,811.3292
fixed,0,junction,B1,40.2,76,655,
fixed,1,junction,B1,39.63,99,528,
fixed,2,junction,B1,70.2,99,453,
ppo,0,corridor,all,73.79,137,1605,623.8299
ppo,1,corridor,all,79.83,519,1195,749.2256
ppo,2,corridor,all,66.31,126,1608,597.8414
ppo,0,junction,B1,8.9,22,736,
ppo,1,junction,B1,32.21,99,463,
ppo,2,junction,B1,7.91,12,743,
ppo_final_iterate,0,corridor,all,73.79,137,1605,623.8299
ppo_final_iterate,1,corridor,all,79.83,519,1195,749.2256
ppo_final_iterate,2,corridor,all,66.31,126,1608,597.8414
ppo_final_iterate,0,junction,B1,8.9,22,736,
ppo_final_iterate,1,junction,B1,32.21,99,463,
ppo_final_iterate,2,junction,B1,7.91,12,743,
