closure,weather,seed,avg_wait_time_s,max_queue_len,throughput_veh,total_co2_kg,completed_trips,blocked_edge
none,clear,0,71.82,151,1599,607.8339,1599,
none,clear,1,76.89,159,1609,625.1456,1609,
none,clear,2,81.66,167,1586,643.1146,1586,
none,rain,0,137.67,734,676,1137.8244,676,
none,rain,1,115.28,568,1049,893.3652,1049,
none,rain,2,133.96,826,694,1111.2257,694,
none,fog,0,119.13,795,568,1253.5826,568,
none,fog,1,130.69,784,551,1272.4286,551,
none,fog,2,122.73,749,573,1261.4483,573,
roadworks,clear,0,104.49,453,1206,817.7302,1206,B1B2
roadworks,clear,1,86.09,169,1560,675.1221,1560,B1B2
roadworks,clear,2,86.25,208,1500,678.7497,1500,B1B2
roadworks,rain,0,162.91,723,608,1193.8146,608,B1B2
roadworks,rain,1,138.03,797,634,1169.3935,634,B1B2
roadworks,rain,2,128.05,701,631,1160.007,631,B1B2
roadworks,fog,0,118.68,814,487,1310.3975,487,B1B2
roadworks,fog,1,112.89,825,472,1329.4409,472,B1B2
roadworks,fog,2,139.9,832,390,1425.4038,390,B1B2
